"record_id","atd_device_id","read_date","intersection_name","direction","movement","heavy_vehicle","volume","speed_average","speed_stddev","seconds_in_zone_average","seconds_in_zone_stddev","month","day","year","hour","minute","day_of_week","bin_duration"
"cbe5a9d66fb174f03719f136b2d937a9","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","THRU","false","248","42.685","14.14","2.407","11.612","10","7","2022","17","30","5","900"
"35ce8a944835a519eb892ec2aaf7fce7","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","THRU","true","8","31.875","21.277","9.013","23.644","10","7","2022","17","30","5","900"
"90e00ab7444049143ecc7668e3a37ef0","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","U-TURN","false","3","5.333","3.215","2.133","2.397","10","7","2022","17","30","5","900"
"2f8b3350daba95b3bda90940e6685d1f","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","LEFT TURN","false","42","15.643","5.136","21.638","48.58","10","7","2022","17","30","5","900"
"88166f958193f2262bab3ba7f2adfb4c","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","LEFT TURN","true","3","9.667","8.386","1.3","0.458","10","7","2022","17","30","5","900"
"40d22f09fe6503c4f6628bc9f3f94903","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","RIGHT TURN","false","13","1.308","2.057","13.092","18.002","10","7","2022","17","30","5","900"
"67f7bd9d4f3c67689d3f22bc629dc617","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","RIGHT TURN","true","1","0.0","0.0","50.4","0.0","10","7","2022","17","30","5","900"
"6798130598830f6e92eb780d256bb6ad","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","THRU","false","8","12.0","13.126","39.675","53.27","10","7","2022","17","30","5","900"
"39a5d3b5a789624b36bd9cde80ea74d6","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","LEFT TURN","false","21","13.857","4.618","27.071","47.191","10","7","2022","17","30","5","900"
"6eaaa85c822877b252575e997261d7eb","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","RIGHT TURN","false","12","12.0","2.954","27.467","48.099","10","7","2022","17","30","5","900"
"c54bc6fead1e7ea171ffe6ec99f2f0be","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","RIGHT TURN","true","3","12.0","5.196","43.0","65.529","10","7","2022","17","30","5","900"
"677ba187703f73fbae495ee2f9d54f02","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","THRU","false","9","16.111","5.036","22.489","32.232","10","7","2022","17","30","5","900"
"86fa78868cab21835cc02dd3e134749e","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","LEFT TURN","false","14","13.357","4.94","21.786","25.573","10","7","2022","17","30","5","900"
"ef6735c388fdece89a03faf3380935b0","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","RIGHT TURN","false","20","12.6","3.05","2.66","1.499","10","7","2022","17","30","5","900"
"1f734869d19489ecbc6e5973a662ac52","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","THRU","false","271","44.786","11.15","1.354","3.366","10","7","2022","17","30","5","900"
"a4653a244ecfb89cd0b11fae8050a869","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","THRU","true","44","45.273","7.816","0.711","0.583","10","7","2022","17","30","5","900"
"239252d42444892d0f560bab3a94c63d","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","U-TURN","false","2","12.5","0.707","2.3","0.0","10","7","2022","17","30","5","900"
"514af5ee19bef833792e19aa43898fd8","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","LEFT TURN","false","9","11.0","5.244","21.3","60.79","10","7","2022","17","45","5","900"
"a5b46417ec56249ccd1c2fbc0077086e","6212","2022-10-07T17:45:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","RIGHT TURN","false","11","10.455","4.634","0.673","0.743","10","7","2022","17","45","5","900"
